gdp,year,quarter
134924.0,1955,2
137592.0,1955,3
136813.0,1955,4
138343.0,1956,1
138200.0,1956,2
138030.0,1956,3
138850.0,1956,4
141445.0,1957,1
141405.0,1957,2
140528.0,1957,3
140929.0,1957,4
144031.0,1958,1
140418.0,1958,2
143508.0,1958,3
143947.0,1958,4
144808.0,1959,1
147145.0,1959,2
150275.0,1959,3
154093.0,1959,4
157940.0,1960,1
156809.0,1960,2
159143.0,1960,3
160135.0,1960,4
162724.0,1961,1
163392.0,1961,2
162575.0,1961,3
162283.0,1961,4
162993.0,1962,1
164524.0,1962,2
165498.0,1962,3
164936.0,1962,4
165693.0,1963,1
172858.0,1963,2
173616.0,1963,3
177557.0,1963,4
178735.0,1964,1
182076.0,1964,2
182725.0,1964,3
185535.0,1964,4
185031.0,1965,1
185142.0,1965,2
186556.0,1965,3
187757.0,1965,4
188064.0,1966,1
189153.0,1966,2
189791.0,1966,3
189028.0,1966,4
191574.0,1967,1
194221.0,1967,2
195025.0,1967,3
196039.0,1967,4
203280.0,1968,1
202430.0,1968,2
206359.0,1968,3
207170.0,1968,4
206754.0,1969,1
208313.0,1969,2
209436.0,1969,3
210400.0,1969,4
209117.0,1970,1
214106.0,1970,2
216150.0,1970,3
218098.0,1970,4
217082.0,1971,1
220973.0,1971,2
224771.0,1971,3
225659.0,1971,4
226104.0,1972,1
232083.0,1972,2
232700.0,1972,3
236339.0,1972,4
247921.0,1973,1
248384.0,1973,2
246082.0,1973,3
245140.0,1973,4
238319.0,1974,1
241752.0,1974,2
243197.0,1974,3
239612.0,1974,4
239702.0,1975,1
235807.0,1975,2
235105.0,1975,3
237747.0,1975,4
241709.0,1976,1
241380.0,1976,2
244367.0,1976,3
249511.0,1976,4
249671.0,1977,1
247936.0,1977,2
249578.0,1977,3
253819.0,1977,4
256193.0,1978,1
259127.0,1978,2
262661.0,1978,3
264972.0,1978,4
264185.0,1979,1
275695.0,1979,2
269599.0,1979,3
272359.0,1979,4
269776.0,1980,1
264448.0,1980,2
264139.0,1980,3
261297.0,1980,4
261131.0,1981,1
261739.0,1981,2
264602.0,1981,3
264902.0,1981,4
265408.0,1982,1
268196.0,1982,2
268798.0,1982,3
270653.0,1982,4
275877.0,1983,1
277790.0,1983,2
280996.0,1983,3
283096.0,1983,4
285469.0,1984,1
282605.0,1984,2
284676.0,1984,3
289829.0,1984,4
292612.0,1985,1
298873.0,1985,2
298814.0,1985,3
298979.0,1985,4
302117.0,1986,1
304797.0,1986,2
306708.0,1986,3
312615.0,1986,4
314804.0,1987,1
319478.0,1987,2
327346.0,1987,3
331075.0,1987,4
336442.0,1988,1
338186.0,1988,2
342414.0,1988,3
345162.0,1988,4
346836.0,1989,1
348997.0,1989,2
349572.0,1989,3
349523.0,1989,4
351299.0,1990,1
353663.0,1990,2
349780.0,1990,3
348006.0,1990,4
346292.0,1991,1
345892.0,1991,2
345216.0,1991,3
345643.0,1991,4
345523.0,1992,1
344987.0,1992,2
346628.0,1992,3
349299.0,1992,4
351046.0,1993,1
352612.0,1993,2
355841.0,1993,3
358264.0,1993,4
361793.0,1994,1
365109.0,1994,2
368798.0,1994,3
370401.0,1994,4
372307.0,1995,1
373090.0,1995,2
377249.0,1995,3
378442.0,1995,4
380976.0,1996,1
382146.0,1996,2
385671.0,1996,3
391053.0,1996,4
397303.0,1997,1
401790.0,1997,2
405233.0,1997,3
411352.0,1997,4
414377.0,1998,1
416909.0,1998,2
418294.0,1998,3
421074.0,1998,4
423875.0,1999,1
425920.0,1999,2
432860.0,1999,3
439093.0,1999,4
444540.0,2000,1
447825.0,2000,2
450688.0,2000,3
453447.0,2000,4
457680.0,2001,1
459620.0,2001,2
462016.0,2001,3
463404.0,2001,4
464698.0,2002,1
466935.0,2002,2
470277.0,2002,3
473899.0,2002,4
477357.0,2003,1
481552.0,2003,2
485973.0,2003,3
490059.0,2003,4
492014.0,2004,1
494824.0,2004,2
496642.0,2004,3
499020.0,2004,4
502702.0,2005,1
506906.0,2005,2
511132.0,2005,3
515935.0,2005,4
518495.0,2006,1
520318.0,2006,2
521780.0,2006,3
524569.0,2006,4
529398.0,2007,1
533187.0,2007,2
537052.0,2007,3
540258.0,2007,4
542804.0,2008,1
539918.0,2008,2
531619.0,2008,3
520230.0,2008,4
509646.0,2009,1
508009.0,2009,2
508398.0,2009,3
509889.0,2009,4
514595.0,2010,1
520128.0,2010,2
523173.0,2010,3
523515.0,2010,4
524955.0,2011,1
525418.0,2011,2
527034.0,2011,3
527698.0,2011,4
532300.0,2012,1
531663.0,2012,2
536720.0,2012,3
536188.0,2012,4
537974.0,2013,1
541586.0,2013,2
546064.0,2013,3
549709.0,2013,4
554183.0,2014,1
559331.0,2014,2
563694.0,2014,3
567619.0,2014,4
569150.0,2015,1
572673.0,2015,2
574836.0,2015,3
578068.0,2015,4
580110.0,2016,1
583383.0,2016,2
585856.0,2016,3
589476.0,2016,4
594423.0,2017,1
598176.0,2017,2
601961.0,2017,3
606396.0,2017,4
606785.0,2018,1
607775.0,2018,2
609653.0,2018,3
610481.0,2018,4
614936.0,2019,1
616853.0,2019,2
621227.0,2019,3
621229.0,2019,4
604719.0,2020,1
481769.0,2020,2
562648.0,2020,3
570338.0,2020,4
564411.0,2021,1
605353.0,2021,2
615459.0,2021,3
624592.0,2021,4
629149.0,2022,1
631258.0,2022,2
631977.0,2022,3
634044.0,2022,4
634612.0,2023,1
634624.0,2023,2
633956.0,2023,3
631825.0,2023,4
636222.0,2024,1
639095.0,2024,2
640002.0,2024,3
