inf_expectation,year,quarter
1.5,1999,4
2.3,2000,1
2.4,2000,2
2.2,2000,3
2.3,2000,4
2.1,2001,1
2.1,2001,2
2.2,2001,3
1.9,2001,4
2.2,2002,1
2.3,2002,2
2.1,2002,3
2.2,2002,4
2.5,2003,1
2.2,2003,2
2.2,2003,3
2.6,2003,4
2.4,2004,1
2.4,2004,2
2.3,2004,3
2.3,2004,4
2.2,2005,1
2.0,2005,2
2.2,2005,3
2.2,2005,4
2.7,2006,1
2.5,2006,2
2.5,2006,3
2.7,2006,4
2.7,2007,1
2.7,2007,2
2.7,2007,3
3.0,2007,4
3.3,2008,1
4.3,2008,2
4.4,2008,3
2.8,2008,4
2.1,2009,1
2.4,2009,2
2.4,2009,3
2.4,2009,4
2.5,2010,1
3.3,2010,2
3.4,2010,3
3.9,2010,4
4.0,2011,1
3.9,2011,2
4.2,2011,3
4.1,2011,4
3.5,2012,1
3.7,2012,2
3.2,2012,3
3.5,2012,4
3.6,2013,1
3.6,2013,2
3.2,2013,3
3.6,2013,4
2.8,2014,1
2.6,2014,2
2.8,2014,3
2.5,2014,4
1.9,2015,1
2.2,2015,2
2.0,2015,3
2.0,2015,4
1.8,2016,1
2.0,2016,2
2.2,2016,3
2.8,2016,4
2.9,2017,1
2.8,2017,2
2.8,2017,3
2.9,2017,4
2.9,2018,1
2.9,2018,2
3.0,2018,3
3.2,2018,4
3.2,2019,1
3.1,2019,2
3.3,2019,3
3.1,2019,4
3.0,2020,1
2.9,2020,2
2.8,2020,3
2.7,2020,4
2.7,2021,1
2.4,2021,2
2.7,2021,3
3.2,2021,4
4.3,2022,1
4.6,2022,2
4.9,2022,3
4.8,2022,4
3.9,2023,1
3.5,2023,2
3.6,2023,3
3.3,2023,4
3.0,2024,1
2.8,2024,2
2.7,2024,3
