,year,quarter,spec2_task4
4,2000,4,0.32500000000000007
5,2001,1,0.5750000000000001
6,2001,2,0.85
7,2001,3,1.625
8,2001,4,1.2000000000000002
9,2002,1,1.725
10,2002,2,1.4250000000000003
11,2002,3,1.5500000000000003
12,2002,4,1.6750000000000003
13,2003,1,1.5500000000000003
14,2003,2,1.5500000000000003
15,2003,3,1.3000000000000003
16,2003,4,1.1500000000000004
17,2004,1,1.1500000000000004
18,2004,2,1.0000000000000002
19,2004,3,1.1250000000000002
20,2004,4,0.8750000000000002
21,2005,1,1.2500000000000002
22,2005,2,1.3750000000000002
23,2005,3,1.8750000000000002
24,2005,4,1.7500000000000002
25,2006,1,1.4000000000000004
26,2006,2,1.3750000000000002
27,2006,3,0.8750000000000002
28,2006,4,1.475
29,2007,1,1.6000000000000003
30,2007,2,1.8500000000000003
31,2007,3,1.8500000000000003
32,2007,4,1.6000000000000003
33,2008,1,1.3500000000000005
34,2008,2,1.4500000000000002
35,2008,3,1.9250000000000003
36,2008,4,1.9
37,2009,1,1.35
38,2009,2,1.5750000000000002
39,2009,3,1.8
40,2009,4,1.9000000000000001
41,2010,1,3.15
42,2010,2,3.1
43,2010,3,2.6250000000000004
44,2010,4,2.725
45,2011,1,3.05
46,2011,2,3.7
47,2011,3,3.25
48,2011,4,3.325
49,2012,1,2.6750000000000003
50,2012,2,2.175
51,2012,3,2.3
52,2012,4,2.7249999999999996
53,2013,1,2.3
54,2013,2,1.9499999999999997
55,2013,3,2.05
56,2013,4,1.7999999999999998
57,2014,1,1.6249999999999998
58,2014,2,2.125
59,2014,3,1.925
60,2014,4,1.6
61,2015,1,1.4999999999999998
62,2015,2,0.75
63,2015,3,1.15
64,2015,4,1.125
65,2016,1,1.225
66,2016,2,1.2000000000000002
67,2016,3,1.3
68,2016,4,1.2
69,2017,1,1.5999999999999999
70,2017,2,2.525
71,2017,3,2.525
72,2017,4,2.6999999999999997
73,2018,1,2.7249999999999996
74,2018,2,2.0749999999999997
75,2018,3,1.8749999999999998
76,2018,4,1.8749999999999996
77,2019,1,1.9749999999999996
78,2019,2,1.8499999999999999
79,2019,3,2.025
80,2019,4,1.7999999999999998
81,2020,1,1.5999999999999999
82,2020,2,1.4
83,2020,3,1.875
84,2020,4,1.3999999999999997
85,2021,1,1.4999999999999998
86,2021,2,1.2999999999999998
87,2021,3,1.8499999999999996
88,2021,4,3.5249999999999995
89,2022,1,4.425
90,2022,2,6.225
91,2022,3,6.2250000000000005
92,2022,4,6.45
93,2023,1,5.825
94,2023,2,6.95
95,2023,3,6.95
96,2023,4,5.825
